Artist Name;Track Name;Popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_in min/ms;time_signature;Class
Jake Bugg;The Love We‚Äôre Hoping For;370;524;512;10;-7809;0;34;361;;113;278;126397;1886670;4;10
Borai;Make Me;430;581;933;100;-6315;0;426;311;958;704;546;1300;2984110;4;6
New Sylveon;—è –±–æ–ª—å—à–µ –?–µ –?—É—Å–?—é—Å—å;330;37;599;60;-55;1;387;911;0,000237;237;488;176785;1654240;4;6
The Flower Kings;Black Flag;280;399;59;40;-8305;1;315;737;133;333;199;139912;4596400;4;10
Between The Buried And Me;The Coma Machine;440;273;971;70;-4495;1;139;0,00007;79;284;249;145088;4559200;4;8
Travis;Side;610;455;849;70;-5461;0;284;493;0,00152;466;533;90955;2392400;4;10
Young Clancy;PARABLE 3;280;677;772;30;-7438;1;424;303;0,00215;299;721;148163;1060480;4;1
Lil Nas X;SUN GOES DOWN;420;551;636;20;-6798;1;54;837;0,000428;112;148;174065;1682760;4;5
Rhodes Rodosu;Luna;390;594;944;70;-5084;0;19;114;102;286;3;103004;2423300;4;6
Polo & Pan;Ani Kuni - Edit;600;704;669;;-5691;1;309;862;348;108;305;121005;1692670;4;6
Jan Harbeck Quartet;Lighter Shades;420;508;162;70;-127;0;302;928;418;101;38;71541;5804216667;4;7
VRSTY;MONTERO (Call Me By Your Name);340;469;884;110;-5626;1;315;506;0,000398;861;174;178944;1800000;4;10
Jerry Garcia Band;The Harder They Come (feat. B?©la Fleck) - Live;200;498;881;;-6433;1;626;507;388;97;617;113988;6456800;4;10
Lo Greco Bros Quartet;Naima;340;364;501;100;-6138;0;349;744;113;305;177;175564;4661783333;5;7
The Fall of Troy;F.C.P.R.E.M.I.X.;590;226;891;90;-5531;0;702;631;0,000975;225;511;167876;2376800;4;10
The Damned;The Shadow Of Love;370;483;6;50;-1183;1;323;159;299;521;655;109925;2299600;4;10
Atreyu;Save Us;590;409;816;;-459;1;743;384;0,000286;932;385;164841;1416080;4;10
Architects;Gravedigger;490;529;943;20;-4446;1;571;0,00511;0,00434;142;226;119983;2453000;4;8
Mauricio Hernandez Monterrubio, José Isidoro;Campeche;470;57;278;20;-7268;1;528;953;849;997;287;12299;3638216667;3;7
Omar and The Howlers;Honest I Do (feat. Gary Clark, Jr.);350;72;412;90;-8139;1;305;421;71;102;463;111444;1411070;3;2
The Civil Wars;Billie Jean;610;532;203;90;-8524;0;668;829;;108;543;89646;2599200;4;10
Hundreds;Untold - Pure Current;290;59;129;50;-17165;1;546;958;864;107;377;116271;2674430;4;6
Editors;Papillon;560;505;947;70;-5157;1;613;0,00207;635;301;629;125995;3241340;4;6
E-Z;?ú?ê ?î?õ?ú ?û?ü ?ê?ú?ú?î;400;596;709;10;-6479;1;359;27;;421;595;152182;2202630;4;5
Justice;We Are Your Friends - Justice Vs Simian;610;615;97;90;1342;0;119;104;384;178;507;122993;2627730;4;1
Blackbriar;Deadly Diminuendo;460;424;82;100;-6895;0;538;484;975;12;153;1151;3005790;4;8
Little Walter;My Babe;560;676;334;50;-10572;1;508;862;;32;867;1580;1620400;4;2
Little Sonny;It's Hard Going Up (But Twice As Hard Coming Down);50;702;685;20;-9264;1;346;451;532;159;885;126404;2342000;3;2
P.O.D.;Youth of the Nation;710;563;86;80;-7533;1;621;834;106;39;517;97867;2562400;4;10
Merle Haggard;Are the Good Times Really Over (I Wish a Buck Was Still Silver);550;616;217;;-15439;1;335;808;109;122;141;130613;422155;3;4
Robert Wilkins;That's No Way To Get Along;300;448;315;80;-14961;1;353;904;;235;372;98548;1725330;4;2
Fibre;The Only One;360;654;92;10;-6389;1;514;254;339;143;709;120065;1680000;4;6
Becca Mancari;Golden (Acoustic);490;359;17;40;-10915;1;308;91;238;11;178;137062;512186667;3;0
Cannibal Corpse;Necrogenic Resurrection;530;462;974;10;-582;1;816;0,00294;723;751;399;107877;1865760;3;8
Astronauts, etc.;Cherry Plum;420;667;659;40;-10264;0;4;728;249;141;826;139947;1748570;4;6
otta;just like the rain;190;507;516;110;-6133;0;391;452;0,00315;135;27;109821;1871470;4;6
Jagwar Twin;Happy Face;640;396;77;90;-4728;1;6;184;;12;412;177542;1707330;4;9
Vundabar;Montage Music;320;493;856;70;-6686;1;556;277;26;258;818;159641;1948670;4;6
Conner Youngblood, Nylo;Everyday - Edit;410;469;607;70;-10174;1;371;369;124;119;287;184986;355395;4;0
Marcus Miller;For the Love of Freedom;460;538;687;20;-17993;0;371;967;461;854;132;103808;2535116667;4;7
Jasmin Moallem;?ê?ï?® ?î?ô?®?ó;510;625;624;90;-8391;1;14;179;0,00715;22;394;150005;2082000;4;5
The 1975;It's Not Living (If It's Not With You);700;618;837;10;-5338;1;304;254;378;618;526;121227;2483360;4;10
4 Non Blondes;What's Up?;800;565;564;20;-10044;1;292;161;;114;454;134355;2955330;4;10
Bashar Murad;Maskhara;350;647;864;50;-4496;1;428;881;;273;5;94986;1864110;4;9
Holly Humberstone;Haunted House;620;366;269;90;-9197;1;439;871;;101;238;127523;1332270;4;9
The Derek Trucks Band;Sweet Inspiration;480;629;748;90;-63;1;406;924;;449;439;111066;2789070;4;2
Little Big Town;Girl Crush;690;5;225;;-1022;1;302;842;;112;355;173788;3222;3;4
The Fray;Heartbeat;530;458;821;90;-5076;1;334;594;0,00946;161;323;14446;2206930;4;10
The Mar??as;Hush;650;846;431;50;-6549;0;351;71;176;861;684;93038;1818930;4;6
Sean Leon;free;340;736;502;100;-94;0;587;481;28;866;296;103985;1517310;4;1
Mrigya;Bhaag Bihag;110;383;696;70;-7557;1;417;265;763;281;379;139068;8096216667;4;0
Oceanhoarse;Reaching Skywards;340;32;967;70;-5898;0;548;0,000206;859;305;81;130338;2465340;4;8
Westlife;We Are One;20;529;528;80;-6566;1;29;157;;135;278;11803;374;4;9
Garbage;Push It;460;568;907;40;-7002;0;318;324;174;702;895;123886;2425330;4;10
Megan Davies;Love Yourself, Out of the Woods, Roses - Acoustic Mashup;500;589;183;110;-1331;1;583;708;;393;36;90556;395605;4;0
Rascal Flatts;What Hurts The Most;700;537;674;50;-5134;0;277;88;;265;33;136002;356845;4;4
Led Zeppelin;The Ocean - Remaster;560;443;555;40;-9303;0;474;533;24;311;755;87982;2710270;4;10
Matt Andersen;Been My Last;340;353;348;40;-9934;1;381;376;0,00198;825;154;127566;2248670;3;2
Catatonia;Road Rage;510;495;594;80;-6447;1;291;178;243;215;428;93445;3083860;4;6
Shashwat Singh, Rishabh Shankar;Albela;250;446;617;10;-7883;1;478;582;292;972;696;159768;225;4;0
The Black Crowes;Jealous Guy;400;472;634;;-5361;1;324;588;;105;641;12427;2977070;4;10
Pepper;Stone Love;620;837;478;60;-5861;0;627;571;129;569;81;78746;2548000;4;10
Common;What Do You Say (Move It Baby) [Feat. PJ];540;793;699;60;-9849;1;37;199;183;108;897;98957;2423470;4;5
Landon Austin, Aubrey Toone;Driver's License (Acoustic);430;614;327;110;-949;1;314;585;;885;43;145051;38862;4;0
Colonial Cousins;Krishna;350;594;619;10;-11123;0;478;597;144;694;385;89691;5835783333;1;0
D Double E;Grinding Away;310;484;775;30;-7761;0;46;462;;173;907;61024;2100570;4;5
King Gizzard & The Lizard Wizard;East West Link;500;461;75;;-8688;0;436;243;451;116;798;166019;1887860;4;6
DZ Deathrays;Make Yourself Mad;380;472;871;10;-489;1;597;115;;335;489;128004;1601600;4;10
Leony;Faded Love;760;748;748;110;-3852;1;465;374;;261;393;132101;1483460;4;9
Camille Saint-Saëns, Sol Gabetta;The Carnival of the Animals, R. 125: XIII. The Swan;80;197;527;70;-24809;1;432;991;945;731;386;82876;3222883333;4;7
Carmella Gross & Wagner;?™?û?ï?†?î ?ê?ô?û?§?®?°?ô?ï?†?ô?°?ò?ô?™;280;735;385;20;-15624;1;356;367;567;659;533;126023;1960000;4;10
Henry Webb-Jenkins;Months;200;687;199;80;-13854;1;402;839;796;117;153;112417;1940000;3;9
Ajotabeats;ANOTHER NIGHT;410;772;941;60;-7609;0;165;76;625;793;693;125016;2361750;4;6
N.O.R.E.;Superthug;480;845;921;20;-4711;1;184;766;0,000975;419;367;9584;3003600;4;5
BTS;Butter;960;759;459;80;-5187;1;948;323;;906;695;109997;27407;4;9
Mustasch;Down in Black;390;524;94;100;-5602;0;504;337;242;287;654;95919;1628270;4;8
Katatonia;Lacquer;460;527;453;;-11677;0;33;219;0,00393;104;179;120024;2821070;3;8
Beware Of Darkness;Howl;460;23;888;20;-3414;1;512;776;292;414;368;90716;2438230;4;10
Trippie Redd;Miss The Rage (feat. Playboi Carti);880;584;859;80;-5616;1;121;144;;847;369;77005;2368830;4;9
Kaunis Kuolematon;Hyv?§sti;340;436;907;40;-6784;0;608;493;793;348;692;115017;4529000;4;8
You Me At Six;WYDRN;460;556;881;40;-4656;0;4;391;0,00178;187;736;133058;2099600;4;10
Shlomo Artzi;?ì?ë?ß;350;637;625;100;-8169;0;342;641;0,000564;12;491;113993;2266670;4;10
Melike ?ûahin;Uykumun Boynunu B?ºkme;530;538;477;90;-10481;0;27;322;244;939;721;105898;2739930;4;10
John Garcia;Jim's Whiskers;320;343;872;50;-5602;0;914;207;364;147;588;115991;2221690;4;10
Marina Maximilian;Not Afraid;370;334;536;90;-6649;0;381;378;;106;235;152429;2049470;4;9
Leon Bridges;Motorbike;670;721;485;50;-11213;0;681;158;275;107;614;150027;1886170;4;1
Clifford Brown, Max Roach Quintet;If I Love Again;270;552;69;20;-9203;0;45;604;976;24;948;128789;339955;4;7
The Raconteurs;Steady, As She Goes;660;525;578;90;-4563;1;12;132;916;108;537;123696;2152670;4;1
Machine Head;Battery;380;277;993;60;-527;0;147;67;701;985;736;99456;3046670;4;8
Peer Tasi;?õ?™?ë?™?ô ?û?ô?ú?ô?ù;320;485;392;50;-7744;0;302;787;;111;313;71375;2451350;4;9
Candlemass;The Pendulum;340;217;807;80;-4802;1;469;0,00119;179;733;249;103893;2992930;3;8
Muse;Supermassive Black Hole;760;668;921;70;-3727;1;439;492;517;877;782;1200;2124400;4;1
Alvaro Soler;Magia;760;757;671;80;-7541;0;422;104;;729;837;133008;1925000;4;9
10-FEET;„Ç¢„Ç™;430;327;952;;-2345;1;128;17;;259;296;189938;2242670;4;10
Sheryl Crow;Soak Up The Sun;10;717;732;40;-4985;1;426;394;;136;708;119996;2923070;4;10
Kid Ink;Champion;590;287;956;50;-2847;0;258;937;;423;475;82578;1568480;4;5
Philip Sayce;Spirit;420;479;905;40;-6606;0;565;76;219;326;274;90007;2180880;4;2
Molly Parden, Hollow Hum;Landslide;560;366;262;20;-12635;1;322;767;0,00206;119;181;15111;409845;4;0
Dudu Aharon;?§?®?ô?ñ ?ê?ï ?ê?®?ï?û?î;190;719;928;;-3215;0;326;736;;339;929;105004;2040670;4;9
Post-Party;Wasting Time;390;459;747;30;-5439;1;309;956;146;104;673;89974;1675560;4;6
Forth Wanderers;Nevermine;410;385;637;40;-5176;1;315;455;349;286;246;163913;2340980;4;6
Westlife;Talk Me Down;10;345;346;40;-8168;1;284;496;0,000621;117;155;149713;403045;4;9
Bettye LaVette;The High Road;160;649;448;80;-76;1;278;785;192;953;36;80521;2695330;3;2
Itay Levi;?ñ?ï?õ?®?™;390;506;583;90;-6989;0;108;133;;254;445;170014;2290370;4;9
Yuval Dayan;?¶?ë?¢?ô?ù;320;37;57;40;-8316;0;361;285;54;102;362;113595;2605060;4;9
Red Hot Chili Peppers;Taste The Pain - Remastered;400;641;828;110;-5412;0;722;864;0,000885;246;776;104714;2719330;4;10
Death;God of Thunder;400;446;892;;-4809;1;524;0,00245;131;115;377;107465;2406930;4;8
The Lemonheads;Mrs. Robinson - Remastered;630;494;936;110;-7195;0;398;112;693;276;834;107543;2244800;4;6
N.W.A.;Straight Outta Compton;550;773;947;80;-5824;1;249;117;;44;464;102146;2661940;4;5
Bernard Allison;Same Ole Feeling;200;742;696;90;-7198;0;384;294;0,000234;802;765;82252;2446240;4;2
Yoshinori Hayashi;Make up One‚Äôs Mind;270;409;48;;-11899;1;311;133;86;138;152;16333;2100000;4;6
Wars;High Art, Low Culture;390;46;949;90;-1026;1;751;26;58;421;255;142917;1583490;4;8
Under the Concrete;Joshua Burnside;450;431;392;60;-9994;0;585;705;0,000733;174;3;98667;3431266667;3;0
The James Hunter Six;He's Your Could've Been;390;908;517;20;-9919;0;108;784;25;851;762;11468;1606350;4;9
FINNEAS;American Clich?©;640;772;503;110;-7603;0;873;732;;785;496;138046;2033890;4;9
Erkin Koray;Fesuphanallah;520;58;422;50;-14462;0;342;409;0,00979;581;844;134912;2174000;4;10
Lady Leshurr;Queen's Speech 4;470;661;531;70;-10113;0;548;141;;136;672;93287;1966150;5;5
The Jesus and Mary Chain;Head On;490;561;871;;-548;1;314;179;237;925;517;138978;2514800;4;10
The Haunted;99;510;39;967;90;-3619;1;625;0,000445;591;608;416;177041;2388130;4;8
Warpaint;Ashes to Ashes;510;696;871;10;-6482;1;357;186;282;173;8;118938;3102270;4;6
Adult Mom;Breathing;310;542;668;;-5924;1;309;225;0,000187;96;651;104914;1946310;4;6
Billie Marten;Garden of Eden;550;577;72;50;-808;1;421;496;423;977;465;150085;1994800;4;6
Flavour;Berna;530;84;859;90;-428;0;129;233;;142;939;113938;2385760;4;9
Maya De Vitry;When the Memories Come Around;140;421;491;;-9252;1;295;182;;195;731;147726;1848320;4;1
Dirty Heads;Lift Me Up;560;621;668;;-515;1;46;954;;114;685;163901;1536800;4;10
The Voidz;Leave It In My Dreams;590;6;746;40;-4696;0;355;226;119;109;614;118551;2394420;4;6
ENVYYOU;New Friends;460;545;651;110;-5966;0;44;792;0,00143;484;502;99926;1763490;4;1
Sugar Ray;Fly;660;835;648;10;-815;1;488;202;225;308;674;99701;2446400;4;9
Dan Kye;Moving;490;899;763;20;-11548;1;601;262;627;869;905;122005;3156080;4;1
Laura Les;Haunted;700;51;817;90;-8666;1;373;654;344;146;547;169481;1020070;4;10
Britney Spears, Backstreet Boys;Matches;490;957;507;;-6206;1;539;451;;543;817;123998;2881783333;4;9
Whethan;Hurting on Purpose (feat. K.Flay);500;796;698;;-5867;1;676;162;115;312;727;140966;1294080;4;10
Zuzu Bollin;Why Don't You Eat Where You Slept Last Night?;370;606;393;100;-16296;1;506;736;69;823;832;131863;1741330;4;2
Thou;Them Bones;320;159;785;90;-6162;1;388;0,000344;722;373;535;152348;1678420;4;8
Galantis;Faith (with Dolly Parton) [feat. Mr. Probz] - Acoustic;470;557;518;70;-7043;1;315;339;;867;354;110291;1732180;4;9
Henrik Schwarz;Come Together - Beatless;290;286;413;70;-9539;0;386;609;163;769;521;184368;3436270;3;6
Pale Waves;Easy;500;405;811;80;-382;1;528;407;221;727;63;175018;1743330;4;6
Remy Ma;Conceited (There's Something About Remy);570;704;568;110;-7786;1;51;216;;184;586;123855;2195600;5;5
Scissor Sisters;Take Your Mama;560;758;954;80;-4573;1;108;196;0,00411;531;924;153973;2719070;4;9
Long Distance Calling;Immunity;300;517;831;40;-7821;0;45;139;807;113;347;174955;3401470;3;10
Mother Mother;Forgotten Souls;610;528;621;;-8559;1;455;346;0,000147;11;46;98419;1757370;4;10
Superlove;btw! i adore u;370;536;836;;-5976;1;948;233;177;402;576;82526;2009090;4;10
Nili Fink;Dmoot;30;613;292;60;-14464;0;331;694;811;827;275;122124;2695220;4;6
Måneskin;I WANNA BE YOUR SLAVE;950;75;608;10;-4008;1;387;165;;178;958;132507;288911667;4;9
Angels & Airwaves;Euphoria;420;318;919;20;-2433;1;774;771;;115;38;88981;2640670;4;10
Big Ups;Goes Black;310;377;976;60;-3686;0;217;107;936;142;264;116062;1415600;4;10
Igor Starshinov;101 Km;320;539;996;60;-257;1;405;895;91;331;656;13001;2658370;4;6
Tash Sultana;Greed;;668;206;10;-19407;0;452;462;241;292;125;87994;2209090;4;10
Total Control;Flesh War;390;579;636;20;-8574;0;276;821;922;446;898;132652;2808530;4;1
David Shaw;Heavy Soul;470;72;747;70;-4413;1;313;204;0,00255;139;919;145047;1826900;4;10
Fleet Foxes;Tiger Mountain Peasant Song;490;645;132;60;-12635;1;327;927;143;845;257;131011;2089730;3;6
Olive Amun;Blues;560;694;576;110;-7064;1;275;501;0,000235;264;445;117997;1501270;4;10
Brass Against;The Pot;420;495;759;;-6304;1;381;197;138;167;387;10712;3813980;4;10
Lost Frequencies;Rise;800;689;612;60;-6014;1;387;228;0,000777;368;461;122076;1930180;4;9
Kaunis Kuolematon;Kylm?§ maa;290;406;963;110;-7108;1;18;0,00616;849;176;52;124932;4210000;4;8
Guitar Tom and the High Cats;Evelina;370;355;949;90;-5356;1;578;0,00237;0,00134;728;792;83704;1546800;4;10
MGMT;Electric Feel - Justice Remix;510;625;815;110;-3915;1;177;476;977;7;528;107273;3273870;4;1
Destroy Boys;Fences;550;377;991;40;-1205;0;932;81;0,000484;298;258;122147;2380400;4;6
The Beatles;She Loves You - Mono / Remastered;660;377;916;40;-3199;0;481;26;;74;912;75533;1409200;4;10
Rews;Heart Is On Fire;300;436;64;20;-6406;1;519;158;0,00238;259;284;2037;1872530;4;10
TOOL;The Grudge;600;423;795;20;-7408;1;374;162;843;269;307;96045;5150800;5;8
BUZZ;Dreaming;360;602;698;;-3167;1;712;597;;127;53;114977;2258930;4;10
Fear No Empire;Revolt;310;488;99;60;-2874;1;219;494;;127;169;160089;1549620;4;1
Roni Bar Hadas;Calm the Beast;200;455;658;90;-6113;1;508;261;154;912;25;13406;1907200;3;6
Conway Twitty;Don't Take It Away - Single Version;410;721;302;40;-16424;1;592;517;;168;433;88461;369;4;4
Great White;House Of Broken Love;490;581;468;90;-15763;0;314;251;845;831;49;11604;3584270;3;10
SR;Practice Makes Perfect;700;801;633;40;-7069;1;293;102;;354;945;139931;1671430;4;5
"Christone ""Kingfish"" Ingram";Empty Promises (Live);460;383;511;20;-7143;0;369;168;61;256;294;121049;4694450;4;2
my bloody valentine;Sometimes;530;356;609;70;-14697;1;514;0,00109;878;1;952;128432;3191600;4;6
Mashina;?ú?î?™?®?ê?ï?™ ?†?¢?ï?®?ô?ù ?©?ú?ï?ù ?ê?î?ë?î;260;615;755;40;-8794;0;292;924;233;272;933;124964;2589200;4;10
Liz Lawrence;Down For Fun;120;677;791;70;-534;1;307;394;853;101;857;102974;1550000;4;1
Night Tempo;Turn the Lights On;310;649;882;70;-5461;1;327;254;835;303;585;128052;1537500;4;6
Metallica;One (Remastered);460;439;691;70;-9158;1;608;666;777;423;433;103281;4461460;3;10
LANDMVRKS;Rainfall;450;247;981;70;-3973;1;964;0,00938;0,00264;398;193;136611;1945020;4;8
Gary Allan;Smoke Rings In The Dark;510;534;596;20;-7148;1;279;277;359;148;147;114957;42941;4;4
Orion Sun;Ne Me Quitte Pas (Don't Leave Me);570;617;5;60;-5747;1;34;386;521;107;516;90026;1687470;4;6
Metal Church;For No Reason;330;362;968;90;-2629;0;741;0,000656;204;672;427;164167;2845180;4;8
Joel Corry;Head & Heart (feat. MNEK);900;734;874;80;-3158;1;662;168;0,00114;489;905;122953;1660280;4;9
Louis Baker;Rainbow;430;448;263;20;-10362;1;459;708;0,000187;119;423;88109;386246667;4;0
Porsh Bet$;Peanut Butter;530;793;698;50;-8089;1;337;478;;104;786;107979;1320580;4;9
Sabbat;The Clerical Conspiracy - 2007 Remastered Version;280;267;982;60;-572;1;123;0,000509;712;147;228;142271;3377870;3;8
Kan Sano;Think Twice;410;761;679;;-9796;0;668;102;826;13;861;94998;2695730;4;1
ODB;Shimmy Shimmy Ya;680;814;481;;-5183;1;245;97;0,00383;495;193;96252;1614000;4;5
Keb' Mo';The Medicine Man [Feat. Old Crow Medicine Show];540;801;637;;-6406;1;565;169;0,00375;925;769;77012;2183600;4;1
Alvin Youngblood Hart;Motivational Speaker;400;608;849;20;-666;1;389;371;259;112;644;101517;2357200;4;2
Fells;Searching For Nothing;380;542;733;30;-5815;1;318;261;;968;329;119963;2219380;4;10
Loyle Carner;You Don't Know;490;716;83;10;-467;0;222;244;0,000169;103;674;92147;2504510;4;5
Moneybagg Yo;Said Sum;720;929;667;80;-6789;0;353;185;;1;274;126998;1551680;4;5
Walk Into a Storm;The Lone Bellow;320;461;272;70;-8795;1;328;335;0,000133;102;258;73806;510355;4;0
Jimi Hendrix;Are You Experienced?;490;403;763;80;-6727;1;118;277;985;148;455;82812;2556130;4;10
Greenleaf;Stray Bullit Woman;450;477;648;60;-7687;1;498;254;184;115;571;89753;1854400;4;10
Guapdad 4000;Chicken Adobo;560;887;401;50;-8132;1;646;164;0,000196;728;601;128047;1828330;4;5
Corey Taylor;Black Eyes Blue;510;551;98;80;-3755;0;451;899;0,000416;142;561;119041;2024460;4;10
Lonely Time;Chris Smither;280;606;452;40;-10376;1;394;815;0,00224;118;657;126687;337795;4;0
Kasabian;L.S.F.;510;617;754;90;-7395;1;363;754;171;256;397;105282;1968530;4;6
Two Feet;Never Enough;530;611;743;110;-4272;0;346;244;;39;429;105052;1627870;4;10
Eden Hason;?°?ô?ë?ï?ë?ô?ù;530;888;786;60;-42;0;517;135;0,000295;754;771;10003;1854000;4;9
Shireen;Umai;410;257;626;70;-7156;1;318;313;368;188;293;83979;3789870;1;8
Pretty Sick;Superstar;470;554;606;70;-574;1;256;152;0,000767;282;599;93991;2207680;4;6
Common;Black America Again;300;408;911;10;-5647;1;344;201;;108;104;93917;3654800;4;5
Johnny Winter;I Can't Stand It - Live at The Woodstock Music & Art Fair, August 18, 1969;270;345;706;;-9351;0;448;191;168;836;766;88069;3698930;4;10
Ella Lee;?û?î ?ê?™?î ?®?ï?¶?î;530;694;669;60;-6722;1;385;685;;114;618;115146;1460870;4;9
Mukesh, Vyjayanthimala;Bol Radha Bol, Pt. 2;100;427;545;110;-13159;0;799;864;0,000446;555;954;98489;4649116667;4;3
Ella Henderson;Let‚Äôs Go Home Together - Stripped;510;649;441;40;-4042;1;421;619;;152;331;153603;2212990;4;9
bandofyou;Oblivion;290;627;865;90;-3896;0;431;113;364;35;705;129996;2022400;4;10
Dead Pony;23, Never Me;430;487;797;60;-5634;0;697;0,00937;826;248;452;156016;1754320;4;6
James Brown;Get Up Offa That Thing;610;864;813;20;-6909;1;361;217;;874;72;118006;2397330;4;9
Harbours & Oceans;Ripples (Echoes);440;182;457;90;-21788;0;452;908;841;716;136;108549;2906666667;4;7
Hellryder;Night Rider;350;363;94;60;-5773;0;1;131;365;116;277;191998;1945870;4;8
Neil Cowley;Don‚Äôt Walk Alone;410;448;154;100;-23811;1;405;795;878;275;154;79955;2784360;4;6
Weezer;Troublemaker;380;652;739;80;-7927;1;314;167;;146;82;131483;1646930;4;10
UPSAHL;People I Don't Like;720;747;573;110;-6562;0;295;268;;302;551;90036;1427660;4;1
Enter Shikari;thƒì kƒ??±g;390;526;878;;-6793;1;835;181;;834;627;148104;1689270;4;10
Sarit Hadad;?©?ô?® ?î?§?®?ô?ó?î;240;659;835;90;-6185;0;421;437;;102;564;132033;2238000;4;9
Satyricon;Hvite Krists D??d;360;179;964;20;-7878;0;81;0,00312;575;353;769;151258;5076270;3;8
Teenage Wrist;High Again;360;484;891;;-5943;0;805;41;219;597;292;145929;2061570;4;10
The Midnighters;Sexy Ways;10;371;76;80;-2684;1;418;411;;732;907;12874;1475910;4;2
Palaye Royale;Mad World;560;302;73;20;-6369;1;901;122;0,000899;956;183;114558;2109980;4;10
Evildead;Word of God;130;392;969;10;-3339;1;572;0,000664;342;29;297;99921;1845330;4;8
The Moon & The Nightspirit;A Hajnal K??sz??nt?©se;340;202;458;20;-8776;1;298;92;187;309;962;75034;3561730;4;8
Fear;Let's Have A War;370;399;828;20;-906;1;517;177;;39;374;99094;1407600;4;10
moanday;Blue Ceiling;550;85;687;60;-8967;0;411;522;229;816;797;109995;1669090;4;9
Balents;One V One;280;551;44;90;-9699;0;429;815;881;189;281;14012;1655140;4;6
Santana;Savor - Live at The Woodstock Music & Art Fair, August 16, 1969;290;461;834;80;-13794;1;441;259;869;381;63;13312;3252670;4;10
The Felice Brothers;Plunder;360;383;828;;-6322;1;359;33;0,00305;35;845;135067;2219070;4;10
Placebo;Every You Every Me;670;478;923;100;-7547;1;569;0,00027;719;325;165;133134;2138000;4;1
Alan Jackson;Where Have You Gone;500;447;21;90;-14754;1;265;715;0,00304;202;266;80951;2869610;4;1
Peter Bjorn and John;Young Folks;720;699;812;;-6005;1;377;164;763;105;662;138185;2766930;4;6
Brent Cobb;Soapbox;460;892;47;;-8413;1;368;75;;817;784;10892;2423470;4;1
Filthy Gears;Duck Duck Goose;130;619;663;20;-7249;1;608;538;324;286;277;93427;1930740;5;5
Egzod;Mirage;400;513;919;100;-3987;1;299;182;166;116;207;1500;2077500;4;10
Idan Raichel;?û?™?í?¢?í?¢?™ ?ê?ï?™?ö (Mitga'aga'at Ot'cha);470;529;431;;-8973;0;339;742;104;364;38;156106;1348750;4;9
Jayshri Prakash;Samagana Lolanae;170;666;709;50;-3806;0;733;635;;118;475;150037;598;4;0
The Cure;Close To Me;680;724;523;110;-11139;1;116;745;703;811;965;185075;2032670;4;1
Red Hot Chili Peppers;Show Me Your Soul;430;672;906;20;-10217;1;592;11;0,00546;756;242;121971;2631730;4;10
Of Monsters and Men;Alligator;600;581;934;80;-5511;1;547;169;297;901;391;120024;1840270;4;6
Robert Lockwood, Jr.;Little Boy Blues;260;727;292;20;-13609;1;408;906;255;104;694;83543;1876380;4;2
Men At Work;Down Under;730;746;79;110;-47;0;257;485;261;534;891;107231;2208670;4;9
Tantara;Punish the Punisher;180;577;974;70;-5491;1;993;0,00518;264;722;178;102501;3002930;4;8
Mukesh;Jane Kahan Gaye Woh Din;260;335;325;50;-8615;0;353;621;142;136;269;140954;443405;3;3
Shlomo Artzi;?ê?ú?ï?î?ô?ô;300;547;536;20;-6218;0;24;778;246;203;293;85957;2564000;4;10
Minutemen;Corona;540;47;913;70;-10196;1;343;0,00659;267;222;977;130425;1455330;4;6
Melissa Etheridge;Like The Way I Do;580;596;835;20;-13021;0;418;418;0,00111;59;637;101359;3243330;4;10
Charlie Beale;Tale of A.G. Smith;200;762;685;110;-7599;0;268;275;692;151;664;109964;2171250;4;2
Busta Rhymes;Woo Hah!! Got You All in Check;590;842;831;10;-7072;1;242;127;;881;814;92053;2719730;4;5
Beware Of Darkness;Muthafucka;440;355;8;90;-4548;1;432;0,00142;;218;299;1399;2128530;4;10
Korin Allal;?õ?©?ñ?î ?¢?û?ï?ß;360;476;517;70;-10441;1;3;364;0,00101;341;254;82937;2966670;4;9
Des Rocs;This is Our Life;580;367;877;70;-392;1;109;108;0,00108;351;395;15768;2243070;4;1
KiNG MALA;she calls me daddy;610;796;426;90;-7994;1;324;31;446;171;572;100006;1835700;4;9
Waterparks;Just Kidding;470;677;87;110;-4569;0;356;199;;304;737;94984;1490500;4;10
Sue Foley;The Lucky Ones;210;691;822;;-5665;1;41;678;0,000826;136;859;109861;2235600;4;2
Ricky Warwick;When Life Was Hard & Fast;300;459;973;50;-5917;0;672;718;156;39;417;14495;2483200;4;8
Coroner;Semtex Revolution;430;427;79;100;-12396;1;513;0,00418;51;344;443;111298;3309870;4;8
Davy Knowles;Uprising;200;479;802;20;-4968;1;569;418;;213;416;80043;2165520;4;2
The Game;Dreams;580;63;78;60;-5353;1;221;499;;206;281;155779;2864530;4;5
Courtney Marie Andrews;To Ramona;440;403;209;50;-10437;1;474;932;0,000273;125;486;166597;362645;3;0
Jj Thames;Oh Lord;360;544;197;;-14654;1;323;947;0,00977;358;251;133432;2017470;4;2
Eden Ben Zaken;?ô?ú?ì?î ?ß?ò?†?î;270;552;659;40;-3515;0;521;398;0,000756;329;283;139976;2519870;4;9
Bon Jovi;This Ain't A Love Song;610;348;635;40;-6836;1;386;932;;126;144;87974;3062400;3;10
